text|label
Ja też, bym nabarziej chciała,|kochanowski
Trudno bym się zdobyć miała|kochanowski
Na lepszą myśl; bo po tobie|kochanowski
Serce zawżdy teskni sobie.|kochanowski
Wolałabym też tym czasem|kochanowski
Gdziekolwiek pod gęstym lasem|kochanowski
Użyć z tobą towarzystwa,|kochanowski
Pomogę ja i myślistwa.|kochanowski
Czego miłość nie przywyknie?|kochanowski
Już ja trafię, gdy pies krzyknie,|kochanowski
Gdzie zajeżdżać zającowi|kochanowski
Mając charty pogotowi.|kochanowski
Pracowite woły moje,|kochanowski
Przy tym lesie chłodne zdroje|kochanowski
I łąka nieprzepasiona,|kochanowski
Kosą nigdy nie sieczona.|kochanowski
Tu wasza dziś pasza będzie;|kochanowski
A ja, mając oko wszędzie,|kochanowski
Będę nad wami siedziała|kochanowski
I tymczasem kwiatki rwała.|kochanowski
Kwiatki barwy rozmaitej,|kochanowski
Które na łubce obszytej|kochanowski
Usadzę w nadobne koło|kochanowski
I włożę na swoje czoło.|kochanowski
Tak dziewka, jako młodzieniec,|kochanowski
Nie proś mię nikt o mój wieniec!|kochanowski
Samam go swą ręką wiła,|kochanowski
Sama go będę nosiła.|kochanowski
Owa u ciebie, mój miły,|kochanowski
Me prośby ważne nie były;|kochanowski
Próznom ja łzy wylewała|kochanowski
I żałosnie narzekała. |kochanowski
Przedsięś ty w swą drogę jechał,|kochanowski
A mnieś, nieszczęsnej, zaniechał|kochanowski
W ciężkim żalu, w którym muszę|kochanowski
Wiecznie trapić moję duszę.|kochanowski
Bodaj wszytkich mąk skosztował,|kochanowski
Kto naprzód wojsko szykował|kochanowski
I wynalazł swoją głową|kochanowski
Strzelbę srogą, piorunową.|kochanowski
Jakie ludzkie głupie sprawy:|kochanowski
Szukać śmierci przez bój krwawy!|kochanowski
A ona i tak człowieczy|kochanowski
Upad ma na dobrej pieczy.|kochanowski
Skrzypku, by w tej pięknej rocie|kochanowski
Usłyszeć co o Dorocie,|kochanowski
Weźmi gęśle, jakoć miła,|kochanowski
A zagraj nie myśląc siła!|kochanowski
Nieprzepłacona Doroto,|kochanowski
Co między pieniędzmi złoto,|kochanowski
Co miesiąc między gwiazdami,|kochanowski
Toś ty jest między dziewkami!|kochanowski
Twoja kosa rozczosana|kochanowski
Jako brzoza przyodziana;|kochanowski
Twarz jako kwiatki mieszane|kochanowski
Lelijowe i różane.|kochanowski
Nos jako sznur upleciony,|kochanowski
Czoło jak marmór gładzony;|kochanowski
Brwi wyniosłe i czarnawe,|kochanowski
A oczy dwa węgla prawe.|kochanowski
Wsi spokojna, wsi wesoła,|kochanowski
Który głos twej chwale zdoła?|kochanowski
Kto twe wczasy, kto pożytki|kochanowski
Może wspomnieć za raz wszytki?|kochanowski
Człowiek w twej pieczy uczciwie|kochanowski
Bez wszelakiej lichwy żywię;|kochanowski
Pobożne jego staranie|kochanowski
I bezpieczne nabywanie.|kochanowski
Inszy się ciągną przy dworze|kochanowski
Albo żeglują przez morze,|kochanowski
Gdzie człowieka wicher pędzi,|kochanowski
A śmierć bliżej niż na piędzi.|kochanowski
Najdziesz, kto w płat język dawa,|kochanowski
A radę na funt przedawa,|kochanowski
Krwią drudzy zysk oblewają,|kochanowski
Gardła na to odważają.|kochanowski
Gdy słońce Raka zagrzewa,|kochanowski
A słowik więcej nie spiewa,|kochanowski
Sobótkę, jako czas niesie,|kochanowski
Zapalono w Czarnym Lesie.|kochanowski
Tam goście, tam i domowi|kochanowski
Sypali się ku ogniowi;|kochanowski
Bąki za raz troje grały|kochanowski
A sady się sprzeciwiały.|kochanowski
Siedli wszyscy na murawie;|kochanowski
Potym wstało sześć par prawie|kochanowski
Dziewek jednako ubranych|kochanowski
I belicą przepasanych.|kochanowski
Wszytki spiewać nauczone,|kochanowski
W tańcu także niezganione;|kochanowski
Więc koleją zaczynały,|kochanowski
A pierwszej tak począć dały:|kochanowski
Siostry, ogień napalono|kochanowski
I placu nam postąpiono;|kochanowski
Czemu sobie rąk nie damy,|kochanowski
A społem nie zaspiewamy?|kochanowski
Piękna nocy, życz pogody,|kochanowski
Broń wiatrów i nagłej wody;|kochanowski
Dziś przyszedł czas, że na dworze|kochanowski
Mamy czekać ranej zorze.|kochanowski
Tak to matki nam podały,|kochanowski
Samy także z drugich miały,|kochanowski
Że na dzień świętego Jana|kochanowski
Zawżdy sobótka palana.|kochanowski
Dzieci, rady mej słuchajcie,|kochanowski
Ojcowski rząd zachowajcie:|kochanowski
Święto niechaj świętem będzie,|kochanowski
Tak bywało przed tym wszędzie.|kochanowski
Święta przed tym ludzie czcili,|kochanowski
A przedsię wszytko zrobili;|kochanowski
A ziemia hojnie rodziła,|kochanowski
Bo pobożność Bogu miła.|kochanowski
Dziś bez przestanku pracujem|kochanowski
I dniom świętym nie folgujem:|kochanowski
Więc też tylko zarabiamy,|kochanowski
Ale przedsię nic nie mamy.|kochanowski
Albo nas grady porażą,|kochanowski
Albo zbytnie ciepła każą;|kochanowski
Co rok słabsze urodzaje,|kochanowski
A zła drogość za tym wstaje.|kochanowski
Pracuj we dnie, pracuj w nocy,|kochanowski
Prózno bez Pańskiej pomocy;|kochanowski
Boga, dzieci, Boga trzeba,|kochanowski
Kto chce syt być swego chleba.|kochanowski
Na tego my wszytko włóżmy,|kochanowski
A z sobą sami nie trwóżmy;|kochanowski
Wrócąć się i dobre lata,|kochanowski
Jeszczeć nie tu koniec świata.|kochanowski
A teraz ten wieczór sławny|kochanowski
Święćmy jako zwyczaj dawny,|kochanowski
Niecąc ognie do świtania,|kochanowski
Nie bez pieśni, nie bez grania!|kochanowski
Gorące dni nastawają,|kochanowski
Suche role się padają;|kochanowski
Polny świercz, co głosu sstaje,|kochanowski
Gwałtownemu słońcu łaje. |kochanowski
Już mdłe bydło szuka cienia|kochanowski
I ciekącego strumienia,|kochanowski
I pasterze, chodząc za niem,|kochanowski
Budzą lasy swoim graniem.|kochanowski
Żyto się w polu dostawa|kochanowski
I swoją barwą znać dawa,|kochanowski
Iż już niedaleko żniwo:|kochanowski
Miej się do sierpa co żywo!|kochanowski
Sierpa trzeba oziminie,|kochanowski
Kosa się zejdzie jarzynie;|kochanowski
A wy, młodszy, noście snopy,|kochanowski
Drudzy układajcie w kopy!|kochanowski
Gospodarzu nasz wybrany,|kochanowski
Ty masz mieć wieniec kłosiany,|kochanowski
Gdy w ostatek zboża zatnie|kochanowski
Krzywa kosa już ostatnie.|kochanowski
A kiedy z pola zbierzemy,|kochanowski
Tam dopiero odpoczniemy|kochanowski
Dołożywszy z wierzchem broga;|kochanowski
Już więc, dzieci, jedno Boga!|kochanowski
Wtenczas, gościu, bywaj u mnie,|kochanowski
Kiedy wszystko najdziesz w gumnie,|kochanowski
A jesli ty rad odkładasz,|kochanowski
Mnie do siebie drogę zadasz.|kochanowski
Zwierzęć się, gromado moja,|kochanowski
Nie mam przed Szymkiem pokoja!|kochanowski
Za trzewik mi zastępuje,|kochanowski
A powiada, że miłuje. |kochanowski
Szymku, by to prawda była,|kochanowski
Dobrze bych Bogu służyła;|kochanowski
Ale ty rad z ludzi szydzisz,|kochanowski
Zwłaszcza gdy prostaka widzisz.|kochanowski
Tobie to wolno samemu,|kochanowski
Ale, wierę, nie inszemu;|kochanowski
Bo ty z tym nadobnie umiesz,|kochanowski
A gdzie kogo tknąć, rozumiesz.|kochanowski
I któraż by nie szła rada|kochanowski
Za tak gładkiego sąsiada?|kochanowski
Podajże jej kęs nadzieje,|kochanowski
Alić się już moja śmieje.|kochanowski
I samam tak głupią była,|kochanowski
Żem ci też kiedy wierzyła;|kochanowski
Dziś już nic i pókim żywa,|kochanowski
Znam cię, ziółko, żeś pokrzywa.|kochanowski
Ze mną sobie rzecz najdujesz,|kochanowski
Drugiej nogę przystępujesz;|kochanowski
Odpuść mi: silnyś przechyra,|kochanowski
A ja z takim nie mam mira.|kochanowski
Nie sprawujże się przez miarę,|kochanowski
Boć zaś ludzie dadzą wiarę;|kochanowski
A mało sobie poprawisz,|kochanowski
Że mię w nieprawdzie zostawisz. |kochanowski
Ja śpiewam, a żal zakryty|kochanowski
Mnoży we mnie płacz obfity.|kochanowski
Spiewa więzień okowany|kochanowski
Tając na czas wnętrznej rany. |kochanowski
Spiewa żeglarz w cudze strony|kochanowski
Nagłym wiatrem zaniesiony;|kochanowski
I oracz ubogi spiewa,|kochanowski
